nome;cpf;localidade;data_nascimento;raca_cor
Alana da Mota Albuquerque;528.041.272-75;CAICARA/SOBRAL/CE;14/08/2003;PARDA
Mirella Mendonça Pacheco;821.378.769-95;BANGUE/PACAJUS/CE;07/11/1983;PARDA
Juliana Fonseca Nogueira;068.714.177-19;ZUMBI/FORTALEZA/CE;12/03/1992;PARDA
Valentina Castro da Rocha;538.111.649-49;PARANGABA/FORTALEZA/CE;10/01/1939;PARDA
José Miguel Pires Sampaio;943.265.924-00;PAN AMARICANO/FORTALEZA/CE;13/05/1949;AMARELA
Stella Melo Vieira;538.514.666-33;LOURDES/FORTALEZA/CE;27/08/2009;BRANCA
Rafaela Freitas Garcia;013.054.383-49;TIBIQUARI/SOBRAL/CE;28/12/1989;AMARELA
Pietro Andrade Fernandes;609.507.165-39;ILHA DO RATO/ACARAU/CE;17/02/1934;PARDA
Lavínia Nogueira Nogueira;384.741.471-94;PARANGABA/FORTALEZA/CE;11/06/1994;PARDA
Guilherme Dias Andrade;306.040.251-65;FREI DAMIAO/MILAGRES/CE;04/06/1972;PARDA
Amanda Barbosa Duarte;442.206.778-30;CENTRO/MISSAO VELHA/CE;27/03/1995;BRANCA
Júlia Guerra Correia;756.963.376-30;PAUPINA/FORTALEZA/CE;27/02/1975;PARDA
Gustavo das Neves Pinto;129.395.119-51;PARQUE GRANJEIRO/CRATO/CE;20/05/1998;BRANCA
Luna Marques Cardoso;530.672.129-13;BARRO BRANCO/CRATO/CE;02/02/1983;PARDA
Allana Lima Montenegro;171.494.686-13;JOSE WALTER/FORTALEZA/CE;13/07/1992;PARDA
Gabriela Pereira Cirino;049.120.424-37;SEMINARIO/CRATO/CE;16/04/1997;PARDA
Alexia Dias da Paz;741.702.108-63;ZACARIAS GONCALVES/CRATO/CE;17/09/1999;PARDA
Eloá Jesus Fonseca;242.878.860-78;BARRO BRANCO/CRATO/CE;13/11/1981;PARDA
Julia Rezende Abreu;098.132.621-32;SAPIRANGA/FORTALEZA/CE;01/12/1995;BRANCA
Laura Montenegro Fernandes;380.857.862-25;PECEM/SAO GONCALO DO AMARANTE/CE;19/09/2001;BRANCA
Giovanna Gonçalves Araújo;322.736.575-30;ITAPERI/FORTALEZA/CE;08/03/1961;PARDA
